Donor,SampleGroup,sex
BSSE_QGF_204446,HD276,Trest,Male
BSSE_QGF_204447,HD276,Ttumor,Male
BSSE_QGF_204448,HD276,Teff,Male
BSSE_QGF_204449,HD276,Tex,Male
BSSE_QGF_204450,HD280,Trest,Male
BSSE_QGF_204451,HD280,Ttumor,Male
BSSE_QGF_204452,HD280,Teff,Male
BSSE_QGF_204453,HD280,Tex,Male
BSSE_QGF_204458,HD286,Trest,Male
BSSE_QGF_204459,HD286,Ttumor,Male
BSSE_QGF_204460,HD286,Teff,Male
BSSE_QGF_204461,HD286,Tex,Male
BSSE_QGF_204462,HD287,Trest,Female
BSSE_QGF_204463,HD287,Ttumor,Female
BSSE_QGF_204464,HD287,Teff,Female
BSSE_QGF_204465,HD287,Tex,Female
